Index,Time,l_side.T_wheel,((driven[1])->measure).speed_rads
148,3.897000,0.146481216,48.3589745
149,3.924000,0.132481396,48.6454697
150,3.983000,0.103481442,48.8326912
151,4.005000,0.0919814184,48.6188278
152,4.029000,0.0804813951,48.5090485
153,4.053000,0.0689813718,48.6679153
154,4.076000,0.0569813475,48.4066849
155,4.099000,0.0449813232,48.1717911
156,4.124000,0.0329812989,47.9320221
157,4.152000,0.0189813171,46.9675598
158,4.179000,0.00548132043,46.9597511
159,4.202000,-0.00601868099,46.1869888
160,4.247000,-0.02851866,45.3117905
161,4.272000,-0.041018676,44.2754021
162,4.294000,-0.0525186993,43.2664833
163,4.319000,-0.0645187199,42.9912033
164,4.343000,-0.0765187442,42.2569809
165,4.367000,-0.0885187685,41.2271729
166,4.395000,-0.102518797,40.7481041
167,4.421000,-0.115518823,39.5205383
168,4.453000,-0.132018745,38.2311478
169,4.495000,-0.152018487,36.6994667
170,4.519000,-0.16501832,35.4137535
171,4.543000,-0.176518172,34.3258095
172,4.567000,-0.188518018,33.3921051
173,4.591000,-0.200517863,32.1210289
174,4.614000,-0.212517709,30.7241173
175,4.640000,-0.225017548,29.4115696
176,4.667000,-0.239017367,28.1030998
177,4.692000,-0.250517219,26.7591
178,4.728000,-0.269016981,24.3514576
179,4.755000,-0.283016801,22.6676655
180,4.780000,-0.294516653,21.2947311
181,4.804000,-0.307516485,19.79916
182,4.828000,-0.319516331,18.1703663
183,4.852000,-0.331516176,16.4164124
184,4.877000,-0.343516022,14.737689
185,4.904000,-0.357015848,12.7158689
186,4.940000,-0.375015616,10.2348757
187,4.975000,-0.392515391,7.63466787
188,5.003000,-0.407015204,5.42071962
189,5.028000,-0.41901505,3.59568477
190,5.051000,-0.430514902,1.43008292
191,5.074000,-0.442514747,-0.600546837
192,5.098000,-0.454514593,-2.30188394
193,5.121000,-0.466014445,-3.64663315
194,5.148000,-0.479514271,-5.21441936
195,5.172000,-0.491014123,-6.56134987
196,5.195000,-0.503014147,-7.99507141
197,5.225000,-0.517014802,-9.80503654
198,5.259000,-0.534515619,-12.0733919
199,5.284000,-0.547016203,-13.6269159
200,5.306000,-0.558516741,-15.364152
201,5.331000,-0.570517302,-17.0472641
202,5.355000,-0.582517862,-18.8589172
203,5.380000,-0.595018446,-20.5579147
204,5.406000,-0.608519077,-22.6380386
205,5.433000,-0.622019708,-24.5286598
206,5.457000,-0.633520246,-26.5452118
207,5.502000,-0.65652132,-30.3095684
208,5.526000,-0.668021858,-31.930233
209,5.549000,-0.680022418,-33.9679565
210,5.574000,-0.692022979,-36.2351532
211,5.597000,-0.703523517,-38.3811378
212,5.620000,-0.715024054,-40.2457008
213,5.643000,-0.727024615,-42.4965706
214,5.680000,-0.745025456,-45.7574234
215,5.715000,-0.762526274,-47.5883522
216,5.743000,-0.776526928,-48.1861725
217,5.767000,-0.788527489,-48.0682716
218,5.790000,-0.800028026,-48.5625076
219,5.813000,-0.812028587,-48.3730736
220,5.837000,-0.824029148,-48.4207344
221,5.862000,-0.836029708,-48.6957626
222,5.887000,-0.848530293,-48.312912
223,5.915000,-0.862530947,-48.6462936
224,5.941000,-0.875531554,-48.5371552
225,5.970000,-0.890032232,-48.565506
226,5.995000,-0.902532816,-48.6762199
227,6.024000,-0.917033494,-48.3306084
228,6.048000,-0.929534078,-48.8071823
229,6.073000,-0.941534638,-48.4953156
230,6.097000,-0.953535199,-48.5780792
231,6.120000,-0.965035737,-48.7551422
232,6.147000,-0.978536367,-48.3611145
233,6.172000,-0.991536975,-48.6366959
234,6.196000,-0.99699986,-48.6683006
235,6.222000,-0.983499229,-48.458931
236,6.250000,-0.969998598,-48.6904755
237,6.274000,-0.957498014,-48.3455849
238,6.299000,-0.945497453,-48.5747795
239,6.322000,-0.933496892,-48.7295036
240,6.346000,-0.921496332,-48.4136543
241,6.371000,-0.909495771,-48.7526131
242,6.397000,-0.89599514,-48.3454781
243,6.429000,-0.880494416,-48.6070213
244,6.456000,-0.866993785,-48.5864944
245,6.493000,-0.84849292,-48.5629578
246,6.517000,-0.83649236,-48.6646919
247,6.540000,-0.824991822,-48.3241501
248,6.564000,-0.813491285,-48.7172089
249,6.586000,-0.801490724,-48.5697289
250,6.610000,-0.789990187,-48.4105644
251,6.633000,-0.778489649,-48.7976685
252,6.657000,-0.766489089,-48.3227119
253,6.682000,-0.753988504,-48.5722351
254,6.706000,-0.741987944,-48.7427826
255,6.732000,-0.728987336,-48.3867607
256,6.760000,-0.714986682,-48.7548409
257,6.783000,-0.703486145,-48.4414062
258,6.807000,-0.69098556,-48.5824356
259,6.832000,-0.678484976,-48.7228317
260,6.857000,-0.665984392,-48.4647484
261,6.882000,-0.653983831,-48.5751762
262,6.909000,-0.640483201,-48.5644836
263,6.937000,-0.625982523,-48.5575562
264,6.962000,-0.613981962,-48.76614
265,6.994000,-0.597981215,-48.3825989
266,7.025000,-0.58248049,-48.7481842
267,7.048000,-0.570979953,-48.3423424
268,7.072000,-0.558979392,-48.5754814
269,7.095000,-0.546978831,-48.7318115
270,7.121000,-0.534478247,-48.3845863
271,7.146000,-0.52147764,-48.7574577
272,7.178000,-0.505976915,-48.3733864
273,7.209000,-0.490476787,-48.7153244
274,7.249000,-0.469977051,-48.4079971
275,7.272000,-0.458977193,-48.6659775
276,7.296000,-0.446477354,-48.5518723
277,7.320000,-0.434477508,-48.3844643
278,7.343000,-0.422977656,-48.8398972
279,7.367000,-0.410977811,-48.3754578
280,7.395000,-0.397477984,-48.5802765
281,7.424000,-0.382978171,-48.5986023
282,7.448000,-0.370978326,-48.2957039
283,7.494000,-0.347978622,-48.5156517
284,7.518000,-0.335478783,-48.5776291
285,7.544000,-0.322978944,-48.7179222
286,7.567000,-0.311479092,-48.3478775
287,7.595000,-0.296979278,-48.7324257
288,7.620000,-0.284479439,-48.5545998
289,7.649000,-0.27047962,-48.5828476
290,7.678000,-0.255979806,-48.6643105
291,7.715000,-0.237480044,-48.5854301
292,7.746000,-0.221980244,-48.6972961
293,7.769000,-0.210480392,-48.414093
294,7.793000,-0.197980553,-48.7202682
295,7.817000,-0.186480701,-48.3984985
296,7.840000,-0.174480855,-48.5223808
297,7.869000,-0.160481036,-48.713356
298,7.892000,-0.14848119,-48.4647598
299,7.918000,-0.135981351,-48.663765
300,7.942000,-0.123981483,-48.6802216
301,7.969000,-0.110481456,-48.5070267
302,7.995000,-0.0969814286,-48.8203468
303,8.020000,-0.0849814042,-48.5170937
304,8.044000,-0.0729813799,-48.6085739
305,8.067000,-0.0614813566,-48.6276474
306,8.091000,-0.0494813323,-47.8995056
307,8.114000,-0.037981309,-48.0826454
308,8.140000,-0.0249813069,-47.336422
309,8.163000,-0.0134813217,-46.8057747
310,8.188000,-0.000981319696,-46.5199738
311,8.217000,0.0135186817,-45.4550247
312,8.252000,0.0310186557,-45.0669708
313,8.275000,0.0425186791,-44.1452141
314,8.298000,0.0540187024,-42.903183
315,8.322000,0.0655187219,-42.277832
316,8.346000,0.0780187473,-42.0204315
317,8.370000,0.0900187716,-41.0086479
318,8.397000,0.103518799,-40.3713226
319,8.422000,0.116518825,-39.3205299
320,8.446000,0.12851879,-38.1548309
321,8.474000,0.142018616,-37.1582985
322,8.497000,0.153518468,-36.2578278
323,8.524000,0.167018294,-34.7437935
324,8.549000,0.179518133,-33.8110466
325,8.573000,0.191517979,-32.7743263
326,8.597000,0.203017831,-31.4692078
327,8.620000,0.215017676,-30.0687847
328,8.647000,0.228517503,-28.6711559
329,8.678000,0.244017303,-27.1727943
330,8.704000,0.257517129,-25.4443417
331,8.741000,0.275516897,-23.126585
332,8.765000,0.287516743,-21.6484261
333,8.789000,0.300016582,-20.3022671
334,8.813000,0.311516434,-18.6965923
335,8.836000,0.323016286,-17.3055573
336,8.860000,0.335016131,-15.5053291
337,8.884000,0.347015977,-13.660964
338,8.911000,0.360515803,-11.6865168
339,8.934000,0.372015655,-10.0053568
340,8.958000,0.384515494,-8.20802689
341,8.999000,0.404515237,-5.13885593
342,9.023000,0.416515082,-3.15493941
343,9.046000,0.428514928,-1.09540069
344,9.069000,0.44001478,0.60327667
345,9.092000,0.451014638,2.21245241
346,9.116000,0.463014483,3.66592622
347,9.143000,0.47651431,5.19436836
348,9.169000,0.490014136,6.89257193
349,9.193000,0.502014101,8.28398037
350,9.223000,0.516514778,10.0961733
351,9.258000,0.534015596,12.3679829
352,9.281000,0.545516133,13.9908085
353,9.304000,0.557016671,15.7377796
354,9.330000,0.570017278,17.3990498
355,9.353000,0.581517816,19.1731262
356,9.377000,0.593518376,20.7830296
357,9.404000,0.607019007,22.8225136
358,9.434000,0.622019708,25.1720829
359,9.458000,0.634020269,27.2831478
360,9.484000,0.647020876,29.4827747
361,9.512000,0.661021531,31.4553909
362,9.536000,0.672522068,33.5086021
363,9.559000,0.684522629,35.8526459
364,9.582000,0.696023166,37.7472153
365,9.606000,0.708023727,39.5787849
366,9.629000,0.719524264,41.912529
367,9.656000,0.733024895,44.3899841
368,9.682000,0.746525526,46.3608246
369,9.705000,0.758026063,47.7335739
370,9.750000,0.780527115,48.0571213
371,9.774000,0.792027652,48.4837723
372,9.797000,0.80352819,48.4005051
373,9.821000,0.81552875,48.3650322
374,9.845000,0.827529311,48.5999794
375,9.869000,0.839529872,48.4066162
376,9.897000,0.853530526,48.6871719
377,9.927000,0.868531227,48.5697594
378,9.977000,0.893532395,48.6912575
379,10.003000,0.906533003,48.2847595
380,10.027000,0.918533564,48.7379761
381,10.055000,0.933034241,48.5734367
382,10.079000,0.944034755,48.4514694
383,10.102000,0.956035316,48.57621
384,10.130000,0.97003597,48.3481903
385,10.156000,0.983036578,48.7228394
386,10.183000,0.996537209,48.5545006
387,10.235000,0.977998972,48.6883316
388,10.258000,0.965498388,48.3256111
389,10.281000,0.954497874,48.6086464
390,10.305000,0.942497313,48.7187347
391,10.329000,0.930496752,48.2574234
392,10.351000,0.919496238,48.7050629
393,10.374000,0.907495677,48.5513916
394,10.402000,0.893495023,48.4694214
395,10.438000,0.875994205,48.6636124
396,10.468000,0.860993505,48.453186
397,10.496000,0.84699285,48.7561111
398,10.519000,0.835492313,48.3184929
399,10.543000,0.822991729,48.7021332
400,10.567000,0.811491191,48.6443367
401,10.591000,0.799490631,48.3589134
402,10.614000,0.787990093,48.6508827
403,10.641000,0.774489462,48.5227852
404,10.668000,0.760988832,48.501976
405,10.694000,0.747988224,48.7191277
406,10.718000,0.736487687,48.2849197
407,10.756000,0.716486752,48.7161179
408,10.779000,0.704986215,48.2673645
409,10.804000,0.692985654,48.7183533
410,10.828000,0.680985093,48.6184464
411,10.851000,0.669484556,48.3691139
412,10.878000,0.655483902,48.6379051
413,10.905000,0.642483294,48.3455048
414,10.931000,0.629482687,48.664917
415,10.958000,0.615482032,48.5715599
416,10.989000,0.600481331,48.4655495
417,11.014000,0.587980747,48.720787
418,11.037000,0.57648021,48.2807007
419,11.060000,0.564979672,48.7199097
420,11.084000,0.552479088,48.5988274
421,11.109000,0.540478528,48.4037361
422,11.131000,0.52897799,48.6694221
423,11.155000,0.517477453,48.5404739
424,11.190000,0.499976665,48.679287
425,11.218000,0.485976845,48.5422897
426,11.250000,0.469977051,48.5589714
427,11.273000,0.458477199,48.7408905
428,11.296000,0.446477354,48.26437
429,11.319000,0.435477495,48.702076
430,11.343000,0.42347765,48.6292191
431,11.367000,0.411977798,48.3389015
432,11.392000,0.398477972,48.651062
433,11.424000,0.382978171,48.2836075
434,11.451000,0.369478345,48.7581863
435,11.487000,0.350978583,48.3455811
436,11.511000,0.339478731,48.6150284
437,11.534000,0.327978879,48.6530533
438,11.557000,0.316479027,48.2742004
439,11.581000,0.304479182,48.7285309
440,11.605000,0.292479336,48.5422745
441,11.631000,0.27897951,48.434845
442,11.659000,0.265479684,48.7230644
443,11.682000,0.252979845,48.279213
444,11.709000,0.240979999,48.7077293
445,11.755000,0.217480302,48.3737488
446,11.778000,0.206480443,48.7168198
447,11.807000,0.191480637,48.4957275
448,11.831000,0.179480791,48.5326996
449,11.855000,0.167480946,48.7587357
450,11.879000,0.154481113,48.2893181
451,11.908000,0.140981287,48.6724281
452,11.935000,0.127481461,48.5603561
453,11.958000,0.115481466,48.5543022
454,11.982000,0.103481442,48.7761917
455,12.008000,0.0904814154,48.3299675
456,12.041000,0.074481383,48.652256
457,12.065000,0.0624813586,48.4613152
458,12.088000,0.0504813343,48.3453407
459,12.112000,0.03848131,48.174057
460,12.143000,0.0234813094,47.2232018
461,12.167000,0.0119813215,47.1433945
462,12.193000,-0.00151868048,46.3004379
463,12.216000,-0.0135186817,45.610302
464,12.259000,-0.0345186628,44.5556297
465,12.283000,-0.0465186872,43.7033348
466,12.306000,-0.0580187105,43.4647102
467,12.329000,-0.06951873,42.6815147
468,12.353000,-0.0815187544,41.7467422
469,12.376000,-0.0930187777,41.4523582
470,12.403000,-0.106518805,40.2833214
471,12.433000,-0.122018836,38.9641685
472,12.485000,-0.147518545,37.0370865
473,12.509000,-0.159018397,35.695488
474,12.531000,-0.170518249,34.9757767
475,12.555000,-0.182518095,33.9179382
476,12.578000,-0.193517953,32.7513962
477,12.601000,-0.205517799,31.3671322
478,12.626000,-0.218517631,30.2419624
479,12.654000,-0.232017457,28.9421825
480,12.679000,-0.244517297,27.3892345
481,12.708000,-0.25901711,25.6145515
482,12.738000,-0.274016917,23.8475838
